venue,player,indian,role,matches,runs,avg,SR,wickets,econ
"Narendra Modi Stadium, Ahmedabad",Sanvir Singh,Yes,middle_order,2,7,3.5,100,NaN,NaN
"Wankhede Stadium, Mumbai",Sanvir Singh,Yes,middle_order,2,12,NaN,120,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Sanvir Singh,Yes,middle_order,1,6,NaN,150,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sarfaraz Khan,Yes,middle_order,1,4,4,44,NaN,NaN
"Arun Jaitley Stadium, Delhi",Sarfaraz Khan,Yes,middle_order,2,39,19.5,89,NaN,NaN
"Brabourne Stadium, Mumbai",Sarfaraz Khan,Yes,middle_order,1,12,NaN,92,NaN,NaN
"Wankhede Stadium, Mumbai",Sarfaraz Khan,Yes,middle_order,2,11,5.5,110,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Sarfaraz Khan,Yes,middle_order,1,10,10,111,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Sarfaraz Khan,Yes,middle_order,2,68,68,155,NaN,NaN
"MA Chidambaram Stadium, Chennai",Satyanarayana Raju,Yes,fast_bowler,2,1,NaN,100,0,13
"Narendra Modi Stadium, Ahmedabad",Satyanarayana Raju,Yes,fast_bowler,1,NaN,NaN,NaN,1,13.7
"M.Chinnaswamy Stadium, Bengaluru",Saurav Chauhan,Yes,opener,1,0,0,0,NaN,NaN
"Wankhede Stadium, Mumbai",Saurav Chauhan,Yes,opener,1,9,9,112,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Saurav Chauhan,Yes,opener,1,9,9,150,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Sediqullah Atal,no,opener,1,22,22,138,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Seifert,No,wicket_keeper,1,3,3,60,NaN,NaN
"Brabourne Stadium, Mumbai",Seifert,No,wicket_keeper,1,21,21,150,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shahbaz Ahmed,Yes,spinner,7,94,47,136,0,8.2
"MA Chidambaram Stadium, Chennai",Shahbaz Ahmed,Yes,spinner,6,33,11,110,4,8.8
"Wankhede Stadium, Mumbai",Shahbaz Ahmed,Yes,spinner,7,87,43.5,147,0,9.3
"Brabourne Stadium, Mumbai",Shahbaz Ahmed,Yes,spinner,5,18,9,64,3,9.4
"Rajiv Gandhi International Stadium, Hyderabad",Shahbaz Ahmed,Yes,spinner,10,61,30.5,98,3,9.7
"Eden Gardens, Kolkata",Shahbaz Ahmed,Yes,spinner,5,17,8.5,170,0,9.8
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shahbaz Ahmed,Yes,spinner,2,14,NaN,200,0,10
"Maharashtra Cricket Association Stadium, Pune",Shahbaz Ahmed,Yes,spinner,5,18,9,62,1,10.1
"Narendra Modi Stadium, Ahmedabad",Shahbaz Ahmed,Yes,spinner,6,34,17,117,2,12.1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shahbaz Ahmed,Yes,spinner,1,NaN,NaN,NaN,0,13
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Shahbaz Ahmed,Yes,spinner,2,9,9,112,0,14.7
"M.Chinnaswamy Stadium, Bengaluru",Shahbaz Ahmed,Yes,spinner,8,36,12,116,0,17.2
"Arun Jaitley Stadium, Delhi",Shahbaz Ahmed,Yes,spinner,2,59,NaN,203,0,22
"Punjab Cricket Association IS Bindra Stadium, Mohali",Shahbaz Ahmed,Yes,spinner,1,5,NaN,167,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shahrukh Khan,Yes,finisher,2,8,8,200,0,7
"Arun Jaitley Stadium, Delhi",Shahrukh Khan,Yes,finisher,3,10,5,111,0,9
"Narendra Modi Stadium, Ahmedabad",Shahrukh Khan,Yes,finisher,10,193,32.16666667,179,1,13
"MA Chidambaram Stadium, Chennai",Shahrukh Khan,Yes,finisher,1,2,NaN,67,NaN,NaN
"Brabourne Stadium, Mumbai",Shahrukh Khan,Yes,finisher,3,33,11,85,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shahrukh Khan,Yes,finisher,2,50,50,104,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Shahrukh Khan,Yes,finisher,1,11,11,110,NaN,NaN
"Wankhede Stadium, Mumbai",Shahrukh Khan,Yes,finisher,3,25,8.333333333,119,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Shahrukh Khan,Yes,finisher,1,4,4,133,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Shahrukh Khan,Yes,finisher,4,46,15.33333333,153,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shahrukh Khan,Yes,finisher,1,37,NaN,154,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shahrukh Khan,Yes,finisher,1,41,NaN,178,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Shahrukh Khan,Yes,finisher,1,13,13,186,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shahrukh Khan,Yes,finisher,2,19,19,190,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shahrukh Khan,Yes,finisher,2,34,NaN,212,NaN,NaN
"Eden Gardens, Kolkata",Shahrukh Khan,Yes,finisher,2,32,NaN,246,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shahrukh Khan,Yes,finisher,1,15,15,250,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shai Hope,No,wicket_keeper,1,11,NaN,110,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shai Hope,No,wicket_keeper,1,29,29,126,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shai Hope,No,wicket_keeper,1,33,33,132,NaN,NaN
"Arun Jaitley Stadium, Delhi",Shai Hope,No,wicket_keeper,4,85,28.33333333,167,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shai Hope,No,wicket_keeper,1,19,19,190,NaN,NaN
"Eden Gardens, Kolkata",Shai Hope,No,wicket_keeper,1,6,6,200,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shaik Rasheed,Yes,opener,2,11,5.5,85,NaN,NaN
"Wankhede Stadium, Mumbai",Shaik Rasheed,Yes,opener,1,19,19,95,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shaik Rasheed,Yes,opener,1,14,14,127,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shaik Rasheed,Yes,opener,1,27,27,142,NaN,NaN
"Eden Gardens, Kolkata",Shamar Joseph,No,fast_bowler,1,NaN,NaN,NaN,0,12.5
"Maharashtra Cricket Association Stadium, Pune",Shami,Yes,fast_bowler,3,NaN,NaN,NaN,4,5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shami,Yes,fast_bowler,1,NaN,NaN,NaN,0,6.3
"Sawai Mansingh Stadium, Jaipur",Shami,Yes,fast_bowler,1,NaN,NaN,NaN,1,6.8
"Narendra Modi Stadium, Ahmedabad",Shami,Yes,fast_bowler,12,0,0,0,18,7.9
"MA Chidambaram Stadium, Chennai",Shami,Yes,fast_bowler,3,5,5,100,3,8.3
"Dr DY Patil Sports Academy, Mumbai",Shami,Yes,fast_bowler,4,NaN,NaN,NaN,4,8.4
"Wankhede Stadium, Mumbai",Shami,Yes,fast_bowler,6,NaN,NaN,NaN,8,9
"Eden Gardens, Kolkata",Shami,Yes,fast_bowler,4,2,NaN,50,5,9.2
"Brabourne Stadium, Mumbai",Shami,Yes,fast_bowler,3,NaN,NaN,NaN,2,9.9
"M.Chinnaswamy Stadium, Bengaluru",Shami,Yes,fast_bowler,1,NaN,NaN,NaN,1,10
"Arun Jaitley Stadium, Delhi",Shami,Yes,fast_bowler,1,NaN,NaN,NaN,3,10.2
"Punjab Cricket Association IS Bindra Stadium, Mohali",Shami,Yes,fast_bowler,1,NaN,NaN,NaN,1,11
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Shami,Yes,fast_bowler,2,1,NaN,100,0,11.7
"Rajiv Gandhi International Stadium, Hyderabad",Shami,Yes,fast_bowler,6,7,7,140,4,12.4
"Narendra Modi Stadium, Ahmedabad",Shams Mulani,Yes,spinner,2,1,NaN,100,0,8
"Rajiv Gandhi International Stadium, Hyderabad",Shams Mulani,Yes,spinner,1,NaN,NaN,NaN,0,16
"M.Chinnaswamy Stadium, Bengaluru",Shanaka,No,middle_order,1,0,0,0,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shanaka,No,middle_order,1,17,17,106,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shanaka,No,middle_order,1,9,NaN,129,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shankar,Yes,middle_order,2,2,2,29,0,2
"Maharashtra Cricket Association Stadium, Pune",Shankar,Yes,middle_order,3,13,6.5,59,0,14
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shankar,Yes,middle_order,3,36,12,97,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shankar,Yes,middle_order,1,2,NaN,100,NaN,NaN
"Arun Jaitley Stadium, Delhi",Shankar,Yes,middle_order,1,29,29,126,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shankar,Yes,middle_order,4,124,41.33333333,128,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shankar,Yes,middle_order,7,143,35.75,149,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Shankar,Yes,middle_order,1,9,9,150,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shankar,Yes,middle_order,2,63,31.5,150,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shankar,Yes,middle_order,1,16,16,160,NaN,NaN
"Wankhede Stadium, Mumbai",Shankar,Yes,middle_order,2,33,16.5,165,NaN,NaN
"Eden Gardens, Kolkata",Shankar,Yes,middle_order,1,51,NaN,212,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sharath BR,Yes,wicket_keeper,1,2,2,40,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shashank Singh,Yes,finisher,3,26,13,100,0,10
"Brabourne Stadium, Mumbai",Shashank Singh,Yes,finisher,2,10,10,167,0,10
"Rajiv Gandhi International Stadium, Hyderabad",Shashank Singh,Yes,finisher,4,4,2,57,1,10.7
"Barsapara Cricket Stadium, Guwahati",Shashank Singh,Yes,finisher,1,0,0,0,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shashank Singh,Yes,finisher,10,218,36.33333333,124,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shashank Singh,Yes,finisher,2,48,48,126,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shashank Singh,Yes,finisher,1,9,NaN,129,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shashank Singh,Yes,finisher,2,22,22,169,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shashank Singh,Yes,finisher,2,70,70,175,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shashank Singh,Yes,finisher,3,97,97,180,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shashank Singh,Yes,finisher,4,168,168,215,NaN,NaN
"Wankhede Stadium, Mumbai",Shashank Singh,Yes,finisher,2,33,33,220,NaN,NaN
"Eden Gardens, Kolkata",Shashank Singh,Yes,finisher,1,68,NaN,243,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shepherd,No,fast_bowler,2,24,24,133,1,8.2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shepherd,No,fast_bowler,4,1,1,50,2,9.6
"Narendra Modi Stadium, Ahmedabad",Shepherd,No,fast_bowler,2,17,17,189,1,10
"Dr DY Patil Sports Academy, Mumbai",Shepherd,No,fast_bowler,2,8,8,100,2,10.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shepherd,No,fast_bowler,4,0,0,0,3,11
"Wankhede Stadium, Mumbai",Shepherd,No,fast_bowler,9,67,67,239,1,14.9
"M.Chinnaswamy Stadium, Bengaluru",Shepherd,No,fast_bowler,3,53,NaN,379,0,16.5
"Rajiv Gandhi International Stadium, Hyderabad",Shepherd,No,fast_bowler,1,15,NaN,250,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shivam Dube,Yes,middle_order,21,494,32.93333333,155,1,14
"Wankhede Stadium, Mumbai",Shivam Dube,Yes,middle_order,8,165,27.5,138,0,15
"Narendra Modi Stadium, Ahmedabad",Shivam Dube,Yes,middle_order,5,89,29.66666667,148,0,16.5
"Brabourne Stadium, Mumbai",Shivam Dube,Yes,middle_order,3,106,53,177,0,25
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shivam Dube,Yes,middle_order,1,0,0,0,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shivam Dube,Yes,middle_order,2,46,46,102,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Shivam Dube,Yes,middle_order,1,18,18,106,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shivam Dube,Yes,middle_order,1,19,NaN,112,NaN,NaN
"Arun Jaitley Stadium, Delhi",Shivam Dube,Yes,middle_order,2,61,30.5,149,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shivam Dube,Yes,middle_order,3,67,33.5,149,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shivam Dube,Yes,middle_order,1,42,42,156,NaN,NaN
"Eden Gardens, Kolkata",Shivam Dube,Yes,middle_order,2,95,47.5,156,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shivam Dube,Yes,middle_order,1,52,52,158,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shivam Dube,Yes,middle_order,4,143,47.66666667,170,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Shivam Dube,Yes,middle_order,1,18,18,180,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Shivam Dube,Yes,middle_order,1,45,45,188,NaN,NaN
"Brabourne Stadium, Mumbai",Shivam Mavi,Yes,fast_bowler,2,0,0,0,1,9
"Dr DY Patil Sports Academy, Mumbai",Shivam Mavi,Yes,fast_bowler,2,2,2,50,1,9
"Wankhede Stadium, Mumbai",Shivam Mavi,Yes,fast_bowler,3,NaN,NaN,NaN,2,10.7
"Maharashtra Cricket Association Stadium, Pune",Shivam Mavi,Yes,fast_bowler,2,1,NaN,50,1,12.5
"Rajiv Gandhi International Stadium, Hyderabad",Shivam Singh,Yes,opener,1,2,NaN,67,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Short,No,opener,2,34,34,155,0,5
"Wankhede Stadium, Mumbai",Short,No,opener,2,11,11,110,0,7
"Punjab Cricket Association IS Bindra Stadium, Mohali",Short,No,opener,4,71,23.66666667,125,0,8
"Rajiv Gandhi International Stadium, Hyderabad",Short,No,opener,1,1,1,33,NaN,NaN
"Wankhede Stadium, Mumbai",Shreyas Gopal,Yes,spinner,2,NaN,NaN,NaN,2,8.2
"Brabourne Stadium, Mumbai",Shreyas Gopal,Yes,spinner,2,9,NaN,129,1,11.3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shreyas Gopal,Yes,spinner,1,NaN,NaN,NaN,1,13
"Wankhede Stadium, Mumbai",Shreyas Iyer,Yes,middle_order,6,128,32,120,0,7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shreyas Iyer,Yes,middle_order,5,27,5.4,100,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shreyas Iyer,Yes,middle_order,3,31,10.33333333,129,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shreyas Iyer,Yes,middle_order,4,81,20.25,131,NaN,NaN
"Eden Gardens, Kolkata",Shreyas Iyer,Yes,middle_order,8,192,38.4,135,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shreyas Iyer,Yes,middle_order,2,46,46,135,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shreyas Iyer,Yes,middle_order,3,109,54.5,145,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shreyas Iyer,Yes,middle_order,3,112,56,147,NaN,NaN
"Brabourne Stadium, Mumbai",Shreyas Iyer,Yes,middle_order,3,167,55.66666667,153,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Shreyas Iyer,Yes,middle_order,1,18,18,164,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shreyas Iyer,Yes,middle_order,2,75,75,167,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shreyas Iyer,Yes,middle_order,1,45,45,180,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shreyas Iyer,Yes,middle_order,4,243,243,223,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Shreyas Iyer,Yes,middle_order,1,82,82,228,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shubham Dubey,Yes,finisher,1,0,0,0,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shubham Dubey,Yes,finisher,1,1,1,33,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Shubham Dubey,Yes,finisher,1,9,9,75,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shubham Dubey,Yes,finisher,3,25,25,132,NaN,NaN
"Wankhede Stadium, Mumbai",Shubham Dubey,Yes,finisher,1,8,NaN,133,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shubham Dubey,Yes,finisher,1,12,12,171,NaN,NaN
"Eden Gardens, Kolkata",Shubham Dubey,Yes,finisher,1,25,NaN,179,NaN,NaN
"Arun Jaitley Stadium, Delhi",Shubham Dubey,Yes,finisher,1,25,25,208,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Shubham Dubey,Yes,finisher,1,34,NaN,309,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Shubman Gill,Yes,opener,1,1,1,50,NaN,NaN
"Wankhede Stadium, Mumbai",Shubman Gill,Yes,opener,6,90,15,88,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Shubman Gill,Yes,opener,4,36,9,106,NaN,NaN
"MA Chidambaram Stadium, Chennai",Shubman Gill,Yes,opener,2,50,25,116,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Shubman Gill,Yes,opener,1,35,35,121,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Shubman Gill,Yes,opener,3,79,26.33333333,130,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Shubman Gill,Yes,opener,1,67,67,137,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Shubman Gill,Yes,opener,1,61,NaN,142,NaN,NaN
"Brabourne Stadium, Mumbai",Shubman Gill,Yes,opener,3,179,59.66666667,146,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Shubman Gill,Yes,opener,3,192,64,149,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Shubman Gill,Yes,opener,3,147,73.5,153,NaN,NaN
"Eden Gardens, Kolkata",Shubman Gill,Yes,opener,3,174,58,157,NaN,NaN
"Arun Jaitley Stadium, Delhi",Shubman Gill,Yes,opener,3,113,56.5,159,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Shubman Gill,Yes,opener,3,120,60,164,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Shubman Gill,Yes,opener,23,1105,58.15789474,165,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Simarjeet Singh,Yes,fast_bowler,1,NaN,NaN,NaN,2,5.7
"MA Chidambaram Stadium, Chennai",Simarjeet Singh,Yes,fast_bowler,1,NaN,NaN,NaN,3,6.5
"Dr DY Patil Sports Academy, Mumbai",Simarjeet Singh,Yes,fast_bowler,1,NaN,NaN,NaN,2,6.8
"Wankhede Stadium, Mumbai",Simarjeet Singh,Yes,fast_bowler,3,2,2,67,1,6.9
"Brabourne Stadium, Mumbai",Simarjeet Singh,Yes,fast_bowler,2,3,NaN,100,1,7.7
"Maharashtra Cricket Association Stadium, Pune",Simarjeet Singh,Yes,fast_bowler,3,2,NaN,100,0,11.2
"Eden Gardens, Kolkata",Simarjeet Singh,Yes,fast_bowler,2,0,0,0,0,12
"Narendra Modi Stadium, Ahmedabad",Simarjeet Singh,Yes,fast_bowler,1,NaN,NaN,NaN,0,15
"Rajiv Gandhi International Stadium, Hyderabad",Simarjeet Singh,Yes,fast_bowler,5,3,3,50,2,16.3
"M.Chinnaswamy Stadium, Bengaluru",Simarjeet Singh,Yes,fast_bowler,1,NaN,NaN,NaN,0,18
"Rajiv Gandhi International Stadium, Hyderabad",Siraj,Yes,fast_bowler,3,NaN,NaN,NaN,5,4.7
"Punjab Cricket Association IS Bindra Stadium, Mohali",Siraj,Yes,fast_bowler,1,NaN,NaN,NaN,4,5.5
"M.Chinnaswamy Stadium, Bengaluru",Siraj,Yes,fast_bowler,16,13,13,144,21,8.2
"Sawai Mansingh Stadium, Jaipur",Siraj,Yes,fast_bowler,3,NaN,NaN,NaN,2,8.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Siraj,Yes,fast_bowler,1,NaN,NaN,NaN,1,9.2
"MA Chidambaram Stadium, Chennai",Siraj,Yes,fast_bowler,1,NaN,NaN,NaN,0,9.5
"Dr DY Patil Sports Academy, Mumbai",Siraj,Yes,fast_bowler,5,14,NaN,127,4,9.8
"Wankhede Stadium, Mumbai",Siraj,Yes,fast_bowler,6,NaN,NaN,NaN,3,10
"Narendra Modi Stadium, Ahmedabad",Siraj,Yes,fast_bowler,11,3,NaN,75,9,10.2
"Maharashtra Cricket Association Stadium, Pune",Siraj,Yes,fast_bowler,4,5,5,100,2,10.3
"Eden Gardens, Kolkata",Siraj,Yes,fast_bowler,4,NaN,NaN,NaN,4,10.6
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Siraj,Yes,fast_bowler,3,0,0,0,1,10.7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Siraj,Yes,fast_bowler,1,NaN,NaN,NaN,3,10.8
"Arun Jaitley Stadium, Delhi",Siraj,Yes,fast_bowler,2,NaN,NaN,NaN,0,11
"Brabourne Stadium, Mumbai",Siraj,Yes,fast_bowler,5,11,11,65,0,11.2
"Wankhede Stadium, Mumbai",Solanki,Yes,spinner,1,NaN,NaN,NaN,0,4.5
"Brabourne Stadium, Mumbai",Solanki,Yes,spinner,1,NaN,NaN,NaN,2,10.5
"Maharashtra Cricket Association Stadium, Pune",Southee,No,fast_bowler,3,0,0,0,3,6.5
"Dr DY Patil Sports Academy, Mumbai",Southee,No,fast_bowler,7,2,1,20,7,7.7
"Wankhede Stadium, Mumbai",Southee,No,fast_bowler,4,0,0,0,4,9.8
"Eden Gardens, Kolkata",Southee,No,fast_bowler,1,NaN,NaN,NaN,0,12.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",Southee,No,fast_bowler,1,NaN,NaN,NaN,2,13.5
"Wankhede Stadium, Mumbai",Spencer Johnson,No,fast_bowler,2,1,NaN,33,0,7
"MA Chidambaram Stadium, Chennai",Spencer Johnson,No,fast_bowler,2,5,NaN,100,1,8.8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Spencer Johnson,No,fast_bowler,2,0,NaN,0,0,9
"Sawai Mansingh Stadium, Jaipur",Spencer Johnson,No,fast_bowler,1,NaN,NaN,NaN,0,9.2
"Barsapara Cricket Stadium, Guwahati",Spencer Johnson,No,fast_bowler,1,NaN,NaN,NaN,1,10.2
"Narendra Modi Stadium, Ahmedabad",Spencer Johnson,No,fast_bowler,3,1,NaN,100,3,11.8
"Eden Gardens, Kolkata",Spencer Johnson,No,fast_bowler,3,1,NaN,100,0,14.6
"Dr DY Patil Sports Academy, Mumbai",Srikar Bharat,Yes,wicket_keeper,2,8,4,114,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Stoinis,No,middle_order,22,336,30.54545455,136,5,7.6
"Sawai Mansingh Stadium, Jaipur",Stoinis,No,middle_order,5,68,34,189,2,8.9
"Rajiv Gandhi International Stadium, Hyderabad",Stoinis,No,middle_order,4,77,38.5,188,0,9
"M.Chinnaswamy Stadium, Bengaluru",Stoinis,No,middle_order,4,96,48,204,1,9
"Brabourne Stadium, Mumbai",Stoinis,No,middle_order,4,37,18.5,142,1,9.3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Stoinis,No,middle_order,7,32,8,97,0,12
"Punjab Cricket Association IS Bindra Stadium, Mohali",Stoinis,No,middle_order,2,72,72,180,1,12
"Dr DY Patil Sports Academy, Mumbai",Stoinis,No,middle_order,3,24,24,160,3,12.3
"MA Chidambaram Stadium, Chennai",Stoinis,No,middle_order,3,145,145,179,0,12.5
"Wankhede Stadium, Mumbai",Stoinis,No,middle_order,5,83,41.5,143,0,14
"Narendra Modi Stadium, Ahmedabad",Stoinis,No,middle_order,7,32,10.66666667,114,1,16.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Stoinis,No,middle_order,2,15,NaN,300,0,17
"Arun Jaitley Stadium, Delhi",Stoinis,No,middle_order,1,5,5,71,NaN,NaN
"Eden Gardens, Kolkata",Stoinis,No,middle_order,3,19,6.333333333,119,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Stoinis,No,middle_order,3,31,15.5,155,NaN,NaN
"MA Chidambaram Stadium, Chennai",Stokes,No,middle_order,2,8,8,100,0,18
"Narendra Modi Stadium, Ahmedabad",Stokes,No,middle_order,1,7,7,117,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sumit Kumar,Yes,middle_order,2,7,7,117,0,9.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Sumit Kumar,Yes,middle_order,2,2,2,22,0,13.5
"Narendra Modi Stadium, Ahmedabad",Sumit Kumar,Yes,middle_order,1,9,NaN,100,NaN,NaN
"Eden Gardens, Kolkata",Suryakumar Yadav,Yes,middle_order,1,11,11,79,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Suryakumar Yadav,Yes,middle_order,1,15,15,94,NaN,NaN
"MA Chidambaram Stadium, Chennai",Suryakumar Yadav,Yes,middle_order,2,55,27.5,115,NaN,NaN
"Brabourne Stadium, Mumbai",Suryakumar Yadav,Yes,middle_order,2,50,25,132,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Suryakumar Yadav,Yes,middle_order,2,83,41.5,138,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Suryakumar Yadav,Yes,middle_order,3,84,28,145,NaN,NaN
